Node Name,Op Type,Activation,Weights,Bias
/model.0/stem_1/conv/Conv,Conv,UINT8,INT8,INT8
/model.0/stem_2a/conv/Conv,Conv,UINT8,INT8,INT8
/model.0/stem_2p/MaxPool,MaxPool,UINT8,,
/model.0/stem_2b/conv/Conv,Conv,UINT8,INT8,INT8
/model.0/Concat,Concat,UINT8,,
/model.0/stem_3/conv/Conv,Conv,UINT8,INT8,INT8
/model.1/branch1/branch1.0/Conv,Conv,UINT8,INT8,INT8
/model.1/branch2/branch2.0/Conv,Conv,UINT8,INT8,INT8
/model.1/branch1/branch1.2/Conv,Conv,UINT8,INT8,INT8
/model.1/branch2/branch2.3/Conv,Conv,UINT8,INT8,INT8
/model.1/branch2/branch2.5/Conv,Conv,UINT8,INT8,INT8
/model.1/Concat,Concat,UINT8,,
/model.1/Reshape,Reshape,UINT8,,
/model.1/Transpose,Transpose,UINT8,,
/model.1/Reshape_1,Reshape,UINT8,,
/model.2/model.2.0/Slice,Slice,UINT8,,
/model.2/model.2.0/Slice_1,Slice,UINT8,,
/model.2/model.2.0/branch2/branch2.0/Conv,Conv,UINT8,INT8,INT8
/model.2/model.2.0/branch2/branch2.3/Conv,Conv,UINT8,INT8,INT8
/model.2/model.2.0/branch2/branch2.5/Conv,Conv,UINT8,INT8,INT8
/model.2/model.2.0/Concat,Concat,UINT8,,
/model.2/model.2.0/Reshape,Reshape,UINT8,,
/model.2/model.2.0/Transpose,Transpose,UINT8,,
/model.2/model.2.0/Reshape_1,Reshape,UINT8,,
/model.2/model.2.1/Slice,Slice,UINT8,,
/model.2/model.2.1/Slice_1,Slice,UINT8,,
/model.2/model.2.1/branch2/branch2.0/Conv,Conv,UINT8,INT8,INT8
/model.2/model.2.1/branch2/branch2.3/Conv,Conv,UINT8,INT8,INT8
/model.2/model.2.1/branch2/branch2.5/Conv,Conv,UINT8,INT8,INT8
/model.2/model.2.1/Concat,Concat,UINT8,,
/model.2/model.2.1/Reshape,Reshape,UINT8,,
/model.2/model.2.1/Transpose,Transpose,UINT8,,
